Project,Cost,Text,Notes,Prerequisite
Advanced Thrusters,"2 Glass, 10 Gold Bar",All ship speeds x 1.25,,Advanced Mining
Advanced Cargo Handling,"5 Hammer, 25 Silver Bar",All ship cargo x 1.25,,Advanced Mining
Superior Mining,"10 Laser Torch, 25 Platinum Bar",All planet mine rates x 1.25,"Additive with Advanced, or actually only x1.2",Advanced Thrusters OR Advanced Cargo Handling
Superior Thrusters,4 Advanced Battery,All ship speeds x 1.25,"Additive with Advanced, or actually only x1.2",Superior Mining
Superior Cargo Handling,50 Titanium Bar,All ship cargo x 1.25,"Additive with Advanced, or actually only x1.2",Superior Mining
Smelter,"600 Copper, 250 Iron",Refine ores into more valuable materials,,Asteroid Miner
Crafter,"5K Lead, 5 Iron Bar",Crafts items from raw materials,,Smelter
Advanced Crafter,"5 Lens, 50 Gold Bar",All crafters speed x 1.20,,Crafter
Crafting Efficiency,30 Solar Panel,Decreases ingredients required by 20% for all crafters,,Advanced Crafter
Superior Crafting,"2 Thermal Scanner, 10 Advanced Battery, 20 Laser Torch",All crafters speed x1.20,,Crafting Efficiency OR Advanced Item Value
Advanced Item Value,"1 Lens, 5 Silver Bar",x1.20 to all item values,,Advanced Crafter
Crafting Specialist,"3 Advanced Battery, 2 Advanced Computer",10% chance to craft double of an item,,Advanced Item Value
Superior Item Value,"200 Palladium Bar, 25 Laser Torch",x1.20 to all item values,,Advanced Item Value
Advanced Furnace,"3 Glass, 10 Aluminum Bar",All smelters speed x 1.20,,Smelter
Smelting Efficiency,200 Bronze Bar,Decreases ingredients required by 20% for all smelters,,Advanced Furnace
Superior Furnace,"5 Iridium Bar, 20 Titanium Bar, 50 Platinum Bar",All smelters speed x1.20,,Smelting Efficiency OR Advanced Alloy Value
Advanced Alloy Value,"3 Circuit, 10 Silver Bar",x1.2 to all alloy values,,Advanced Furnace
Smelting Specialist,"5 Basic Computer, 2 Advanced Battery",10% chance to smelt double of an alloy,,Advanced Alloy Value
Superior Alloy Value,"250K Diamond, 30 Laser",x1.2 to all alloy values,,Advanced Alloy Value
Preferred Vendor,"200 Iron Nail, 75 Hammer, 40 Circuit",Price of building new smelters and crafters reduced by 50%,,Superior Furnace
Furnace Overdrive,"20 Osmium Bar, 1 Plasma Torch","Ability to put one furnace into overdrive. Smelt speed x2, but ingredients cost +50%",,Superior furnace
Advanced Furnace Overdrive,"40 Rhodium Bar, 20 Inerton Alloy, 10 Thermal Scanner",Increases Furnace Overdrive smelt speed to x4,,Furnace Overdrive
Furnace Overdrive Efficiency,"200 Iridium Bar, 1 Motor",Decreases Furnace Overdrive extra ingredient cost to +20%,,Furnace Overdrive
Furnace Overdrive 2,"200 Uru Alloy, 20 Plasma Torch, 2 Nuclear Capsule",Ability to put a second furnace into overdrive,,Furnace Overdrive
Furnace Overdrive 3,"300 Aether Alloy, 100 Plasma Torch, 2 Fusion Capsule",Ability to put a third furnace into overdrive,,Furnace Overdrive 2
Surge Mapping,"2 Battery, 2 Lead Bar",Detected Surges on planets within Telescopes 0 to 3 are now class 2. Higher classes amplify surge effects.,Costs 80 Cells,Telescope 3 & Surge Branch 1 node
Advanced Surge Mapping,"4 Hammer, 6 Silicon Bar",Detected Surges on planets within Telescopes 0 to 3 are now class 3. Higher classes amplify surge effects.,,Surge Mapping
Superior Surge Mapping,"5 Glass, 10 Aluminum Bar",Detected Surges on planets within Telescopes 0 to 3 are now class 4. Higher classes amplify surge effects.,,Advanced Surge Mapping
Echo Filtering,"5 Circuit, 8 Silver Bar",Detected Surges on planets within Telescopes 4 to 7 are now class 2. Higher classes amplify surge effects.,Costs 160 Cells,Surge Branch 2 node
Advanced Echo Filtering,"6 Lens, 12 Gold Bar",Detected Surges on planets within Telescopes 4 to 7 are now class 3. Higher classes amplify surge effects.,,Echo Filtering
Superior Echo Filtering,"8 Laser, 20 Bronze Bar",Detected Surges on planets within Telescopes 4 to 7 are now class 4. Higher classes amplify surge effects.,,Advanced Echo Filtering
Harmonic Calibration,"8 Basic Computer, 12 Steel Bar",Detected Surges on planets within Telescopes 8 to 11 are now class 2. Higher classes amplify surge effects.,Costs 250 Cells,Surge Branch 3 node
Advanced Harmonic Calibration,"10 Solar Panel, 20 Platinum Bar",Detected Surges on planets within Telescopes 8 to 11 are now class 3. Higher classes amplify surge effects.,,Harmonic Calibration
Superior Harmonic Calibration,"20 Laser Torch, 30 Titanium Bar",Detected Surges on planets within Telescopes 8 to 11 are now class 4. Higher classes amplify surge effects.,,Advanced Harmonic Calibration
Reactive Sweep,"10 Advanced Battery, 18 Iridium Bar",Detected Surges on planets within Telescopes 12 to 15 are now class 2. Higher classes amplify surge effects.,Costs 320 Cells,Surge Branch 4 node
Advanced Reactive Sweep,"18 Thermal Scanner, 28 Palladium Bar",Detected Surges on planets within Telescopes 12 to 15 are now class 3. Higher classes amplify surge effects.,,Reactive Sweep
Superior Reactive Sweep,"30 Advanced Computer, 40 Osmium Bar",Detected Surges on planets within Telescopes 12 to 15 are now class 4. Higher classes amplify surge effects.,,Advanced Reactive Sweep
Anomaly Resolution,"15 Navigation Module, 22 Rhodium Bar",Detected Surges on planets within Telescopes 16 to 19 are now class 2. Higher classes amplify surge effects.,Costs 360 Cells,Surge Branch 5 node
Advanced Anomaly Resolution,"25 Plasma Torch, 35 Quadium Alloy",Detected Surges on planets within Telescopes 16 to 19 are now class 3. Higher classes amplify surge effects.,,Anomaly Resolution
Superior Anomaly Resolution,"40 Radio Tower, 50 Scrith Alloy",Detected Surges on planets within Telescopes 16 to 19 are now class 4. Higher classes amplify surge effects.,,Advanced Anomaly Resolution
Signal Stratification,"20 Telescope, 28 Uru Alloy",Detected Surges on planets within Telescopes 20 to 23 are now class 2. Higher classes amplify surge effects.,Costs 400 Cells,Surge Branch 6 node
Advanced Signal Stratification,"32 Satellite Dish, 42 Vibranium Alloy",Detected Surges on planets within Telescopes 20 to 23 are now class 3. Higher classes amplify surge effects.,,Signal Stratification
Superior Signal Stratification,"50 Motor, 60 Aether Alloy",Detected Surges on planets within Telescopes 20 to 23 are now class 4. Higher classes amplify surge effects.,,Advanced Signal Stratification
