Item,Unlock Cost,Sell Price,Material Cost,Time To Craft/s,Used For
Advanced Battery,30M,35M,"20 Steel Bar, 30 Battery",9000,"Accumulator (3), Telescope 9 (3), Advanced Manager Training (10), Superior Thrusters (4), Superior Crafting (10), Crafting Specialist (2), Smelting Specialist (2)"
Thermal Scanner,50M,71.5M,"5 Platinum Bar, 2 Laser, 5 Glass",10800,"Navigation Module (1), Asteroid Scanner (30), Advanced Ore Targeting (15), Telescope 10 (3), Advanced Contract Manager (10), Terraforming (10), Superior Crafting (2), Advanced Furnace Overdrive (10)"
Advanced Computer,120M,180M,"5 Titanium Bar, 5 Basic Computer",12600,"Telescope (1), Gravity Chamber (60), Asteroid Auto Miner (20), Advanced Market Manipulation (10), Superior Alchemy (5), Advanced Manager Training (2), Advanced Contract Manager (10), Telescope 11 (3), Crafting Specialist (2)"
Navigation Module,250M,1B,"1 Thermal Scanner, 2 Laser Torch",13500,"Teleporter (250), Asteroid Scanner (5), Leader (5), Telescope 12 (3)"
Plasma Torch,550M,1.15B,"15 Iridium Bar, 5 Laser Torch",15000,"Nuclear Capsule (1), Advanced Asteroid Harvester (50), Furnace Overdrive (1)"
Radio Tower,1.50B,1.45B,"75 Platinum Bar, 150 Aluminum Bar, 50 Titanium Bar",15600,Telescope 13 (3)
Telescope,5B,2.7B,"20 Lens, 1 Advanced Computer",16800,"Space Probe (1), Advanced Asteroid Scanner (150), Advanced Market Manipulation (5), Advanced Leader (10)"
Satellite Dish,17.50B,3.4B,"150 Steel Bar, 30 Palladium Bar",18000,"Space Probe (1), Telescope 14 (3), Advanced Terraforming (10)"
Motor,60B,7B,"500 Bronze Bar, 200 Hammer",19200,"Wind Turbine (1), Market Accelerator (1), Advanced Leader (10), Telescope 15 (5), Furnace Overdrive Efficiency (1)"
Accumulator,100B,12B,"20 Osmium Bar, 3 Advanced Battery",20400,"Robot (90), Telescope 16 (3)"
Nuclear Capsule,200B,26B,"5 Rhodium bar, 1 Plasma Torch",21000,"Nuclear Reactor (1), Fusion Capsule (100), Telescope 17 (3)"
Wind Turbine,500B,140B,"300 Aluminum Bar, 1 Motor",21600,Telescope 18 (3)
Space Probe,1T,180B,"1 Satellite Dish, 1 Telescope, 25 Solar Panel",22200,"Subspace Relay (28), Advanced Asteroid Harvester (1)"
Nuclear Reactor,2T,1T,"1 Nuclear Capsule, 300 Iridium Bar",22800,"Gravity Chamber (1), Fusion Reactor (50), Superior Asteroid Harvester (10), Telescope 19 (4)"
Collider,3T,2T,"500 Inerton Alloy, 100 Quadium Alloy",23100,"Fusion Reactor (40), Debris Scanner (1), Telescope 20 (5)"
Gravity Chamber,6T,15T,"60 Advanced Computer, 1 Nuclear Reactor",24300,"Teleporter (1), Debris Scanner (8), Advanced Market Accelerator (1), Telescope 21 (5)"
Robot,15T,50T,"300 Scrith Alloy, 90 Accumulator",26000,"Telescope 22 (6), Advanced Robot (100)"
Fusion Capsule,75T,240T,"200 Uru Alloy, 100 Vibranium Alloy, 100 Nuclear Capsule",27000,Fusion Reactor (1)
Teleporter,500T,1.8q,"250 Navigation Module,  1 Gravity Chamber",29000,"Subspace Relay (1), Advanced Teleporter (100)"
Fusion Reactor,2.5q,40q,"1 Fusion Capsule, 40 Collider, 50 Nuclear Reactor",31000,Advanced Robot (4)
Subspace Relay,15q,1Q,"70 Space Probe, 100 Satellite Dish, 1 Teleporter",32300,Advanced Teleporter (4)
Advanced Robot,142.00q,29.5Q,"100 Robot, 5 Fusion Reactor",62300,Quantum CPU (5)
Advanced Teleporter,1.49Q,650Q,"5 Subspace Relay, 100 Teleporters, 1000 Xynium Alloy","115,200",Deflector Shield (5)
Quantum CPU,20.00Q,14s,"4 Advanced Robots, 500 Quolium Alloy","120,000",
Deflector Shield,270.00Q,320s,"4 Advanced Teleporters, 400 Luterium Alloy","125,000",
Warp Core,3.65s,6.80 S,"160 Wind Turbine, 40 Fusion Reactor, 4 Quantum CPU","180,000s (50h)",
Deep Space Scanner,49.30s,145 S,"250 Advanced Battery, 1000 Aqualite Alloy, 4 Deflector Shield","188,000",
Antimatter Cell,665.00s,3.2 O,"50 Nuclear Reactor, 10k Palladium Bar, 4 Warp Core","194,000",
Atmospheric Processor,500 S,68 O,"10k Iridium Bar, 4 Deep Space Scanner, 15 Quantum CPU",,
Orbital Dock,100 O,2.8 N,"6k Wraith Alloy, 4 Antimatter Cell, 10 Warp Core",,
Solar Collector,100 O,2.8 N,"1000 Solar Panel, 20 Deflector Shield, 132 Deep Space Scanner",,
Phase Gate,50 N,452 N,"100 Deep Space Scanner, 1000 Advanced Teleporter, 1 Orbital Dock",,
Neural Matrix,50 N,452 N,"4 AntiMatter Cell, 1 Solar Collector, 16k Osmium Bar",,
